% Model:              Waveguide_Resonator_Passed_Consistency_Check.mph
% Version:            COMSOL 5.5.0.292
% Date:               Oct 9 2024, 22:26
% Table:              Table 1 - Global Evaluation 1
% radius (um)                                     lambda                                            real(ewfd.neff) (1)                               imag(ewfd.neff) (1)                               core_energy/total_energy (1)                      real(ewfd.neff)/imag(ewfd.neff) (1)
1200                                              0.0017885953922445281+1.607933722823129E-14i      0.0017885953922445281                             1.607933722823129E-14                             0.9990508991033415                                1.1123564154772514E11
1200                                              0.0017910076097803704-1.9361820784025648E-14i     0.0017910076097803704                             -1.9361820784025648E-14                           0.9973413964594738                                -9.250202394487766E10
1200                                              0.0017910411505579827+1.9394015920081574E-14i     0.0017910411505579827                             1.9394015920081574E-14                            0.9972404392987813                                9.235019492293214E10
1200                                              0.0017925392595586499-3.730075944549055E-15i      0.0017925392595586499                             -3.730075944549055E-15                            0.9992129368121352                                -4.805637435286476E11
1200                                              0.001792594621630513+3.712214284130739E-15i       0.001792594621630513                              3.712214284130739E-15                             0.9992383683079895                                4.8289093366555786E11
1300                                              0.0019376573402123452+1.349089451757959E-14i      0.0019376573402123452                             1.349089451757959E-14                             0.9990502030757051                                1.4362704694543723E11
1300                                              0.0019402107921211741-1.876220307709393E-14i      0.0019402107921211741                             -1.876220307709393E-14                            0.9973502377643042                                -1.0341060610786719E11
1300                                              0.0019402441110118664+1.8752862294939096E-14i     0.0019402441110118664                             1.8752862294939096E-14                            0.9972465748026649                                1.0346389156472862E11
1300                                              0.0019418699803607734-3.613429010530559E-15i      0.0019418699803607734                             -3.613429010530559E-15                            0.9992210441942994                                -5.374036613702974E11
1300                                              0.0019419269350514621+3.587947378199505E-15i      0.0019419269350514621                             3.587947378199505E-15                             0.9992438370669459                                5.4123618056682733E11
1400                                              0.0020867188828915815+1.4753062321067238E-14i     0.0020867188828915815                             1.4753062321067238E-14                            0.9990494624518836                                1.4144310092907056E11
1400                                              0.0020894168050943386-1.8249862700505667E-14i     0.0020894168050943386                             -1.8249862700505667E-14                           0.9973574259753973                                -1.1448945339388472E11
1400                                              0.002089450040325174+1.8228610786366492E-14i      0.002089450040325174                              1.8228610786366492E-14                            0.9972515524224506                                1.1462475472282898E11
1400                                              0.0020912035435772932-3.5140329514852585E-15i     0.0020912035435772932                             -3.5140329514852585E-15                           0.999227637347353                                 -5.951007211510111E11
1400                                              0.002091262214529213+3.486843309163205E-15i       0.002091262214529213                              3.486843309163205E-15                             0.9992482642488472                                5.997580129378075E11
1500                                              0.002235780099725149+1.2075685329965003E-14i      0.002235780099725149                              1.2075685329965003E-14                            0.9990488956197211                                1.85147263996455E11
1500                                              0.0022386251421739833-1.7888158229212936E-14i     0.0022386251421739833                             -1.7888158229212936E-14                           0.9973633516574275                                -1.2514564738800842E11
1500                                              0.002238658428047418+1.7771299314101077E-14i      0.002238658428047418                              1.7771299314101077E-14                            0.9972556785392338                                1.259704419176092E11
1500                                              0.0022405394282182596-3.445256593822821E-15i      0.0022405394282182596                             -3.445256593822821E-15                            0.9992330634173563                                -6.503258515593407E11
1500                                              0.0022405999666413228+3.3989355126270685E-15i     0.0022405999666413228                             3.3989355126270685E-15                            0.9992519626458071                                6.592063775018616E11
1599.9999999999998                                0.002384840949156425+1.4567948071635094E-14i      0.002384840949156425                              1.4567948071635094E-14                            0.9990483375070185                                1.6370465747333984E11
1599.9999999999998                                0.0023878354185655607-1.748860626094841E-14i      0.0023878354185655607                             -1.748860626094841E-14                            0.9973682844752302                                -1.3653663321916814E11
1599.9999999999998                                0.0023878688529359476+1.732146316745083E-14i      0.0023878688529359476                             1.732146316745083E-14                             0.9972591109460789                                1.3785607080948267E11
1599.9999999999998                                0.0023898772571599486-3.3679212792795892E-15i     0.0023898772571599486                             -3.3679212792795892E-15                           0.9992375821028742                                -7.096000942371052E11
1599.9999999999998                                0.0023899397544384477+3.311980559562569E-15i      0.0023899397544384477                             3.311980559562569E-15                             0.9992550264870789                                7.216044030023231E11
1700                                              0.0025339014682912273+1.4892250120780438E-14i     0.0025339014682912273                             1.4892250120780438E-14                            0.999047819088775                                 1.7014900016723843E11
1700                                              0.002537047314979718-1.7083323898064472E-14i      0.002537047314979718                              -1.7083323898064472E-14                           0.9973724045554951                                -1.485101687539369E11
1700                                              0.0025370809880767985+1.69300439887914E-14i       0.0025370809880767985                             1.69300439887914E-14                              0.9972620053498806                                1.4985672746960864E11
1700                                              0.0025392167138509835-3.2892139335711025E-15i     0.0025392167138509835                             -3.2892139335711025E-15                           0.9992413753592015                                -7.719828400137396E11
1700                                              0.002539281255913543+3.2367701194373417E-15i      0.002539281255913543                              3.2367701194373417E-15                            0.999257599083431                                 7.84510843283166E11
1800                                              0.0026829617156587018+1.502660463446122E-14i      0.0026829617156587018                             1.502660463446122E-14                             0.9990473886534549                                1.7854743509426868E11
1800                                              0.002686260590732997-1.6713260003229895E-14i      0.002686260590732997                              -1.6713260003229895E-14                           0.9973759277064335                                -1.607263089435495E11
1800                                              0.0026862945824068134+1.6541905633388916E-14i     0.0026862945824068134                             1.6541905633388916E-14                            0.997264457116294                                 1.6239329627081644E11
1800                                              0.002688557546673195-3.2175890254403272E-15i      0.002688557546673195                              -3.2175890254403272E-15                           0.999244597700154                                 -8.355814012963528E11
1800                                              0.0026886242206002873+3.162076723495847E-15i      0.0026886242206002873                             3.162076723495847E-15                             0.9992597938136563                                8.502716586926669E11
1900                                              0.002832021665509218+1.4672088760773076E-14i      0.002832021665509218                              1.4672088760773076E-14                            0.9990469350940615                                1.9302102868139944E11
1900                                              0.002835475040949606-1.6324324971737437E-14i      0.002835475040949606                              -1.6324324971737437E-14                           0.9973789146211842                                -1.7369631184497424E11
1900                                              0.0028355094126423655+1.6147137218509388E-14i     0.0028355094126423655                             1.6147137218509388E-14                            0.9972665584149248                                1.7560446624507745E11
1900                                              0.0028378995629202825-3.1417045016545037E-15i     0.0028378995629202825                             -3.1417045016545037E-15                           0.9992473496857415                                -9.032993273001233E11
1900                                              0.0028379684168674847+3.086003537492633E-15i      0.0028379684168674847                             3.086003537492633E-15                             0.9992616484520365                                9.196257821445415E11
2000                                              0.002981081400067506+1.443001477420606E-14i       0.002981081400067506                              1.443001477420606E-14                             0.9990465680770267                                2.0658893609701968E11
2000                                              0.002984690499221429-1.593781894200889E-14i       0.002984690499221429                              -1.593781894200889E-14                            0.9973815050313787                                -1.8727095031518927E11
2000                                              0.0029847253193231566+1.577133257848308E-14i      0.0029847253193231566                             1.577133257848308E-14                             0.9972683594726652                                1.89250039872676E11
2000                                              0.0029872425852159306-3.0667492251322294E-15i     0.0029872425852159306                             -3.0667492251322294E-15                           0.9992497229904245                                -9.740746197097773E11
2000                                              0.0029873136953439744+3.013986770325924E-15i      0.0029873136953439744                             3.013986770325924E-15                             0.9992632602750106                                9.911502348833916E11
2100                                              0.0031301409511372944+1.453649831338164E-14i      0.0031301409511372944                             1.453649831338164E-14                             0.9990463187065874                                2.153297777536856E11
2100                                              0.003133906831405651-1.5560463117846805E-14i      0.003133906831405651                              -1.5560463117846805E-14                           0.9973837465616398                                -2.014018996524127E11
2100                                              0.0031339421512103687+1.5326864710871777E-14i     0.0031339421512103687                             1.5326864710871777E-14                            0.997269944454906                                 2.044737922810381E11
2100                                              0.003136586476984966-2.9941007083220362E-15i      0.003136586476984966                              -2.9941007083220362E-15                           0.9992517760989786                                -1.0475888363630835E12
2100                                              0.0031366599125748676+2.927985045720112E-15i      0.0031366599125748676                             2.927985045720112E-15                             0.999264686830421                                 1.0712691026751587E12
2199.9999999999995                                0.0032792002923947025+1.4493311274912475E-14i     0.0032792002923947025                             1.4493311274912475E-14                            0.999046031568396                                 2.2625611429949127E11
2199.9999999999995                                0.0032831239242415607-1.5147013055547545E-14i     0.0032831239242415607                             -1.5147013055547545E-14                           0.997385700559908                                 -2.1675058390730884E11
2199.9999999999995                                0.0032831597927000114+1.4910978226367998E-14i     0.0032831597927000114                             1.4910978226367998E-14                            0.9972713210088243                                2.201840645769436E11
2199.9999999999995                                0.0032859311366680065-2.914189282935375E-15i      0.0032859311366680065                             -2.914189282935375E-15                            0.9992535721254738                                -1.1275627001682566E12
2199.9999999999995                                0.0032860069318970545+2.8483837756445097E-15i     0.0032860069318970545                             2.8483837756445097E-15                            0.9992659100429847                                1.1536391128170652E12
2300                                              0.0034282594288282866+1.4139898899678373E-14i     0.0034282594288282866                             1.4139898899678373E-14                            0.9990457235095601                                2.424528953956146E11
2300                                              0.0034323416988309144-1.4622584505360045E-14i     0.0034323416988309144                             -1.4622584505360045E-14                           0.9973874438328383                                -2.3472879897344806E11
2300                                              0.003432378133831704+1.4437225434634014E-14i      0.003432378133831704                              1.4437225434634014E-14                            0.9972725106028599                                2.3774499812115146E11
2300                                              0.0034352764752278563-2.811626158761989E-15i      0.0034352764752278563                             -2.811626158761989E-15                            0.9992551551477266                                -1.2218112513010876E12
2300                                              0.003435354648345961+2.757063700946548E-15i       0.003435354648345961                              2.757063700946548E-15                             0.9992669646894787                                1.246019323806898E12
2400                                              0.0035773184730244446+1.3700377509036835E-14i     0.0035773184730244446                             1.3700377509036835E-14                            0.9990455362823988                                2.611109416995866E11
2400                                              0.003581560032857755-1.4162420253641997E-14i      0.003581560032857755                              -1.4162420253641997E-14                           0.9973889371806011                                -2.528918058293549E11
2400                                              0.0035815971216369663+1.393243046931946E-14i      0.0035815971216369663                             1.393243046931946E-14                             0.997273583715659                                 2.570690827794895E11
2400                                              0.0035846223835154485-2.7234367200539413E-15i     0.0035846223835154485                             -2.7234367200539413E-15                           0.9992565400378659                                -1.3162128413413074E12
2400                                              0.003584703016232673+2.660326192422392E-15i       0.003584703016232673                              2.660326192422392E-15                             0.9992679284553241                                1.3474674746439941E12
2500                                              0.003726377331577758+1.3649704096925181E-14i      0.003726377331577758                              1.3649704096925181E-14                            0.9990453175452014                                2.7300059438044415E11
2500                                              0.0037307789036949957-1.3568394884042448E-14i     0.0037307789036949957                             -1.3568394884042448E-14                           0.9973902920495304                                -2.749609615270484E11
2500                                              0.003730816645674307+1.3379065576338322E-14i      0.003730816645674307                              1.3379065576338322E-14                            0.9972745107221078                                2.7885479926733295E11
2500                                              0.0037339688244273955-2.6079142740675682E-15i     0.0037339688244273955                             -2.6079142740675682E-15                           0.9992577733986902                                -1.4317835756938123E12
2500                                              0.003734051922711838+2.5541189477402054E-15i      0.003734051922711838                              2.5541189477402054E-15                            0.99926876597632                                  1.4619726015562415E12
2600                                              0.003875436052212423+1.393257684499758E-14i       0.003875436052212423                              1.393257684499758E-14                             0.9990450973172061                                2.7815644552528546E11
2600                                              0.0038799982401003974-1.3000945840593591E-14i     0.0038799982401003974                             -1.3000945840593591E-14                           0.9973914816364959                                -2.984396895174856E11
2600                                              0.003880036659712714+1.2794583301292596E-14i      0.003880036659712714                              1.2794583301292596E-14                            0.9972753606905972                                3.032561958716331E11
2600                                              0.003883315733857009-2.4993781147830987E-15i      0.003883315733857009                              -2.4993781147830987E-15                           0.9992588714766795                                -1.5537127859479602E12
2600                                              0.003883401315232062+2.4427935554698816E-15i      0.003883401315232062                              2.4427935554698816E-15                            0.9992695022770212                                1.589737825587588E12
2699.9999999999995                                0.004024494720317932+1.2203083460558767E-14i      0.004024494720317932                              1.2203083460558767E-14                            0.9990450068259119                                3.297932635899267E11
2699.9999999999995                                0.004029217984772568-1.2301392518482781E-14i      0.004029217984772568                              -1.2301392518482781E-14                           0.9973925305262262                                -3.2754161601775476E11
2699.9999999999995                                0.004029257119904483+1.2076016049711809E-14i      0.004029257119904483                              1.2076016049711809E-14                            0.9972761301295278                                3.336578142425241E11
2699.9999999999995                                0.0040326630431918725-2.364516944644938E-15i      0.0040326630431918725                             -2.364516944644938E-15                            0.9992598429107866                                -1.7054912853658691E12
2699.9999999999995                                0.00403275117164933+2.304840727380885E-15i        0.00403275117164933                               2.304840727380885E-15                             0.9992702004004561                                1.7496875700526013E12
2800                                              0.004173553254810031+1.1767585282584579E-14i      0.004173553254810031                              1.1767585282584579E-14                            0.9990448383334443                                3.546652226932806E11
2800                                              0.004178438097996064-1.1504532998211587E-14i      0.004178438097996064                              -1.1504532998211587E-14                           0.9973935092744302                                -3.6319927967920245E11
2800                                              0.00417847798090314+1.1280727860822645E-14i       0.00417847798090314                               1.1280727860822645E-14                            0.9972767926219175                                3.704085438861412E11
2800                                              0.004182010730207052-2.2110910562901244E-15i      0.004182010730207052                              -2.2110910562901244E-15                           0.9992607299544205                                -1.8913787916196594E12
2800                                              0.004182101413745751+2.152724347377104E-15i       0.004182101413745751                              2.152724347377104E-15                             0.9992707967262068                                1.9427017763984763E12
2900                                              0.004322611648123237+1.1049147627573746E-14i      0.004322611648123237                              1.1049147627573746E-14                            0.9990446510433905                                3.912167520810316E11
2900                                              0.004327658554491402-1.0566100777106128E-14i      0.004327658554491402                              -1.0566100777106128E-14                           0.9973943689623459                                -4.0957952661858606E11
2900                                              0.004327699184301137+1.0349065943919148E-14i      0.004327699184301137                              1.0349065943919148E-14                            0.9972774025784507                                4.1817292572611194E11
2900                                              0.004331358762007891-2.0303712113680415E-15i      0.004331358762007891                              -2.0303712113680415E-15                           0.9992615239041517                                -2.1332841688045164E12
2900                                              0.004331451994459486+1.974496028833737E-15i       0.004331451994459486                              1.974496028833737E-15                             0.9992713227599814                                2.193700028365171E12
3000                                              0.0044716700299339985+9.547594241601703E-15i      0.0044716700299339985                             9.547594241601703E-15                             0.9990445587803604                                4.683556838276185E11
