jinyu 20240902

wavelength (microns), Re(eps)
0.367928, 2.36234
0.367561, 2.36227
0.367195, 2.3622
0.36683, 2.36213
0.366465, 2.36205
0.366102, 2.36198
0.365739, 2.3619
0.365376, 2.36183
0.365015, 2.36175
0.364654, 2.36167
0.364294, 2.3616
0.363934, 2.36152
0.363576, 2.36144
0.363218, 2.36136
0.36286, 2.36127
0.362504, 2.36119
0.362148, 2.36111
0.361793, 2.36102
0.361438, 2.36094
0.361084, 2.36085
0.360731, 2.36077
0.360379, 2.36068
0.360027, 2.36059
0.359676, 2.3605
0.359326, 2.36041
0.358976, 2.36032
0.358627, 2.36023
0.358279, 2.36013
0.357931, 2.36004
0.357584, 2.35995
0.357238, 2.35985
0.356892, 2.35975
0.356547, 2.35966
0.356203, 2.35956
0.355859, 2.35946
0.355516, 2.35936
0.355174, 2.35926
0.354832, 2.35916
0.354491, 2.35906
0.354151, 2.35895
0.353811, 2.35885
0.353472, 2.35874
0.353134, 2.35864
0.352796, 2.35853
0.352459, 2.35843
0.352122, 2.35832
0.351786, 2.35821
0.351451, 2.3581
0.351117, 2.35799
0.350783, 2.35788
0.350449, 2.35776
0.350117, 2.35765
0.349785, 2.35754
0.349453, 2.35742
0.349123, 2.35731
0.348793, 2.35719
0.348463, 2.35707
0.348134, 2.35695
0.347806, 2.35683
0.347478, 2.35671
0.347151, 2.35659
0.346825, 2.35647
0.346499, 2.35635
0.346174, 2.35622
0.345849, 2.3561
0.345525, 2.35597
0.345202, 2.35585
0.344879, 2.35572
0.344557, 2.35559
0.344235, 2.35547
0.343915, 2.35534
0.343594, 2.35521
0.343274, 2.35507
0.342955, 2.35494
0.342637, 2.35481
0.342319, 2.35468
0.342001, 2.35454
0.341684, 2.35441
0.341368, 2.35427
0.341053, 2.35413
0.340738, 2.35399
0.340423, 2.35386
0.340109, 2.35372
0.339796, 2.35358
0.339483, 2.35343
0.339171, 2.35329
0.338859, 2.35315
0.338548, 2.353
0.338238, 2.35286
0.337928, 2.35271
0.337619, 2.35257
0.33731, 2.35242
0.337002, 2.35227
0.336694, 2.35212
0.336387, 2.35197
0.336081, 2.35182
0.335775, 2.35167
0.335469, 2.35152
0.335165, 2.35137
0.33486, 2.35121
0.334557, 2.35106
0.334253, 2.3509
0.333951, 2.35074
0.333649, 2.35059
0.333347, 2.35043
0.333046, 2.35027
0.332746, 2.35011
0.332446, 2.34995
0.332147, 2.34979
0.331848, 2.34962
0.331549, 2.34946
0.331252, 2.3493
0.330955, 2.34913
0.330658, 2.34897
0.330362, 2.3488
0.330066, 2.34863
0.329771, 2.34846
0.329476, 2.34829
0.329182, 2.34812
0.328889, 2.34795
0.328596, 2.34778
0.328303, 2.34761
0.328011, 2.34744
0.32772, 2.34726
0.327429, 2.34709
0.327139, 2.34691
0.326849, 2.34673
0.32656, 2.34656
0.326271, 2.34638
0.325982, 2.3462
0.325694, 2.34602
0.325407, 2.34584
0.32512, 2.34566
0.324834, 2.34548
0.324548, 2.34529
0.324263, 2.34511
0.323978, 2.34492
0.323694, 2.34474
0.32341, 2.34455
0.323127, 2.34436
0.322844, 2.34418
0.322562, 2.34399
0.32228, 2.3438
0.321998, 2.34361
0.321718, 2.34341
0.321437, 2.34322
0.321157, 2.34303
0.320878, 2.34284
0.320599, 2.34264
0.320321, 2.34244
0.320043, 2.34225
0.319765, 2.34205
0.319488, 2.34185
0.319212, 2.34165
0.318936, 2.34146
0.31866, 2.34125
0.318385, 2.34105
0.318111, 2.34085
0.317837, 2.34065
0.317563, 2.34045
0.31729, 2.34024
0.317017, 2.34004
0.316745, 2.33983
0.316473, 2.33962
0.316202, 2.33942
0.315931, 2.33921
0.315661, 2.339
0.315391, 2.33879
0.315121, 2.33858
0.314852, 2.33836
0.314584, 2.33815
0.314316, 2.33794
0.314048, 2.33773
0.313781, 2.33751
0.313514, 2.3373
0.313248, 2.33708
0.312982, 2.33686
0.312717, 2.33664
0.312452, 2.33642
0.312188, 2.33621
0.311924, 2.33599
0.31166, 2.33576
0.311397, 2.33554
0.311134, 2.33532
0.310872, 2.3351
0.31061, 2.33487
0.310349, 2.33465
0.310088, 2.33442
0.309827, 2.33419
0.309567, 2.33397
0.309308, 2.33374
0.309049, 2.33351
0.30879, 2.33328
0.308532, 2.33305
0.308274, 2.33282
0.308016, 2.33259
0.307759, 2.33235
0.307503, 2.33212
0.307247, 2.33189
0.306991, 2.33165
0.306736, 2.33142
0.306481, 2.33118
0.306226, 2.33094
0.305972, 2.3307
0.305719, 2.33047
0.305466, 2.33023
0.305213, 2.32999
0.304961, 2.32974
0.304709, 2.3295
0.304457, 2.32926
0.304206, 2.32902
0.303955, 2.32877
0.303705, 2.32853
0.303455, 2.32828
0.303206, 2.32804
0.302957, 2.32779
0.302708, 2.32754
0.30246, 2.32729
0.302212, 2.32704
0.301965, 2.32679
0.301718, 2.32654
0.301471, 2.32629
0.301225, 2.32604
0.300979, 2.32579
0.300734, 2.32553
0.300489, 2.32528
0.300244, 2.32502
0.3, 2.32477


jinyu 20240902

wavelength (microns), Re(eps)
1.6884, 2.28126
1.68497, 2.2813
1.68154, 2.28134
1.67811, 2.28138
1.67468, 2.28143
1.67125, 2.28147
1.66782, 2.28151
1.66439, 2.28156
1.66096, 2.2816
1.65753, 2.28165
1.6541, 2.28169
1.65066, 2.28174
1.64723, 2.28178
1.6438, 2.28183
1.64037, 2.28187
1.63693, 2.28192
1.6335, 2.28197
1.63006, 2.28201
1.62663, 2.28206
1.62319, 2.28211
1.61976, 2.28215
1.61632, 2.2822
1.61289, 2.28225
1.60945, 2.2823
1.60601, 2.28235
1.60258, 2.2824
1.59914, 2.28245
1.5957, 2.2825
1.59226, 2.28255
1.58883, 2.2826
1.58539, 2.28265
1.58195, 2.2827
1.57851, 2.28275
1.57507, 2.2828
1.57163, 2.28285
1.56819, 2.28291
1.56475, 2.28296
1.56131, 2.28301
1.55787, 2.28306
1.55442, 2.28312
1.55098, 2.28317
1.54754, 2.28323
1.5441, 2.28328
1.54065, 2.28334
1.53721, 2.28339
1.53377, 2.28345
1.53032, 2.2835
1.52688, 2.28356
1.52344, 2.28362
1.51999, 2.28367
1.51655, 2.28373
1.5131, 2.28379
1.50966, 2.28385
1.50621, 2.2839
1.50276, 2.28396
1.49932, 2.28402
1.49587, 2.28408
1.49243, 2.28414
1.48898, 2.2842
1.48553, 2.28427
1.48208, 2.28433
1.47864, 2.28439
1.47519, 2.28445
1.47174, 2.28451
1.46829, 2.28458
1.46484, 2.28464
1.46139, 2.2847
1.45794, 2.28477
1.45449, 2.28483
1.45104, 2.2849
1.44759, 2.28496
1.44414, 2.28503
1.44069, 2.2851
1.43724, 2.28516
1.43379, 2.28523
1.43034, 2.2853
1.42689, 2.28537
1.42344, 2.28544
1.41999, 2.28551
1.41653, 2.28558
1.41308, 2.28565
1.40963, 2.28572
1.40618, 2.28579
1.40272, 2.28586
1.39927, 2.28594
1.39582, 2.28601
1.39236, 2.28608
1.38891, 2.28616
1.38546, 2.28623
1.382, 2.2863
1.37855, 2.28638
1.37509, 2.28646
1.37164, 2.28653
1.36818, 2.28661
1.36473, 2.28669
1.36127, 2.28677
1.35782, 2.28685
1.35436, 2.28692
1.35091, 2.28701
1.34745, 2.28708
1.34399, 2.28717
1.34054, 2.28725
1.33708, 2.28733
1.33362, 2.28741
1.33017, 2.2875
1.32671, 2.28758
1.32325, 2.28767
1.31979, 2.28775
1.31634, 2.28784
1.31288, 2.28793
1.30942, 2.28801
1.30596, 2.2881
1.30251, 2.28819
1.29905, 2.28828
1.29559, 2.28837
1.29213, 2.28846
1.28867, 2.28855
1.28521, 2.28864
1.28175, 2.28873
1.27829, 2.28883
1.27484, 2.28892
1.27138, 2.28901
1.26792, 2.28911
1.26446, 2.28921
1.261, 2.28931
1.25754, 2.2894
1.25408, 2.2895
1.25062, 2.2896
1.24716, 2.2897
1.2437, 2.2898
1.24024, 2.2899
1.23678, 2.29
1.23332, 2.29011
1.22986, 2.29021
1.22639, 2.29032
1.22293, 2.29042
1.21947, 2.29053
1.21601, 2.29064
1.21255, 2.29075
1.20909, 2.29085
1.20563, 2.29096
1.20217, 2.29108
1.1987, 2.29118
1.19524, 2.2913
1.19178, 2.29141
1.18832, 2.29153
1.18486, 2.29164
1.1814, 2.29176
1.17793, 2.29188
1.17447, 2.29199
1.17101, 2.29211
1.16755, 2.29223
1.16409, 2.29235
1.16062, 2.29247
1.15716, 2.2926
1.1537, 2.29272
1.15024, 2.29285
1.14677, 2.29297
1.14331, 2.2931
1.13985, 2.29323
1.13639, 2.29336
1.13292, 2.29349
1.12946, 2.29362
1.126, 2.29375
1.12254, 2.29388
1.11907, 2.29402
1.11561, 2.29415
1.11215, 2.29429
1.10868, 2.29443
1.10522, 2.29457
1.10176, 2.29471
1.0983, 2.29485
1.09483, 2.29499
1.09137, 2.29514
1.08791, 2.29528
1.08444, 2.29543
1.08098, 2.29557
1.07752, 2.29572
1.07405, 2.29587
1.07059, 2.29602
1.06713, 2.29618
1.06367, 2.29633
1.0602, 2.29649
1.05674, 2.29664
1.05328, 2.2968
1.04981, 2.29696
1.04635, 2.29712
1.04289, 2.29729
1.03943, 2.29745
1.03596, 2.29762
1.0325, 2.29778
1.02904, 2.29795
1.02557, 2.29812
1.02211, 2.29829
1.01865, 2.29846
1.01519, 2.29864
1.01172, 2.29881
0.999756, 2.29943
0.998208, 2.29951
0.996659, 2.2996
0.995109, 2.29968
0.99356, 2.29976
0.99201, 2.29985
0.99046, 2.29993
0.988909, 2.30001
0.987359, 2.3001
0.985808, 2.30018
0.984257, 2.30027
0.982705, 2.30035
0.981154, 2.30044
0.979602, 2.30052
0.97805, 2.30061
0.976498, 2.30069
0.974945, 2.30078
0.973392, 2.30087
0.971839, 2.30096
0.970286, 2.30105
0.968732, 2.30113
0.967178, 2.30122
0.965624, 2.30131
0.96407, 2.3014
0.962515, 2.30149
0.96096, 2.30158
0.959405, 2.30167
0.95785, 2.30177
0.956294, 2.30186
0.954738, 2.30195
0.953182, 2.30204
0.951626, 2.30213
0.95007, 2.30223
0.948513, 2.30232
0.946956, 2.30241
0.945399, 2.30251
0.943841, 2.3026
0.942284, 2.3027
0.940726, 2.30279
0.939168, 2.30289
0.937609, 2.30299
0.936051, 2.30308
0.934492, 2.30318
0.932933, 2.30328
0.931373, 2.30338
0.929814, 2.30348
0.928254, 2.30357
0.926694, 2.30367
0.925134, 2.30377
0.923573, 2.30387
0.922013, 2.30397
0.920452, 2.30408
0.918891, 2.30418
0.917329, 2.30428
0.915768, 2.30438
0.914206, 2.30448
0.912644, 2.30459
0.911082, 2.30469
0.90952, 2.3048
0.907957, 2.3049
0.906394, 2.30501
0.904831, 2.30511
0.903268, 2.30522
0.901704, 2.30533
0.900141, 2.30544
0.898577, 2.30554
0.897013, 2.30565
0.895448, 2.30576
0.893884, 2.30587
0.892319, 2.30598
0.890754, 2.30609
0.889189, 2.3062
0.887623, 2.30631
0.886058, 2.30642
0.884492, 2.30653
0.882926, 2.30665
0.88136, 2.30676
0.879793, 2.30687
0.878227, 2.30699
0.87666, 2.3071
0.875093, 2.30722
0.873526, 2.30733
0.871958, 2.30745
0.870391, 2.30757
0.868823, 2.30768
0.867255, 2.3078
0.865687, 2.30792
0.864118, 2.30804
0.86255, 2.30816
0.860981, 2.30828
0.859412, 2.3084
0.857843, 2.30852
0.856273, 2.30864
0.854704, 2.30876
0.853134, 2.30889
0.851564, 2.30901
0.849994, 2.30913
0.848424, 2.30926
0.846853, 2.30938
0.845282, 2.30951
0.843711, 2.30963
0.84214, 2.30976
0.840569, 2.30989
0.838998, 2.31002
0.837426, 2.31014
0.835854, 2.31028
0.834282, 2.3104
0.83271, 2.31053
0.831138, 2.31066
0.829565, 2.3108
0.827992, 2.31093
0.82642, 2.31106
0.824847, 2.31119
0.823273, 2.31133
0.8217, 2.31146
0.820126, 2.3116
0.818553, 2.31173
0.816979, 2.31187
0.815405, 2.31201
0.81383, 2.31215
0.812256, 2.31228
0.810681, 2.31242
0.809106, 2.31256
0.807531, 2.3127
0.805956, 2.31284
0.804381, 2.31298
0.802806, 2.31313
0.80123, 2.31327
0.799654, 2.31341
0.798078, 2.31356
0.796502, 2.3137
0.794926, 2.31385
0.793349, 2.31399
0.791773, 2.31414
0.790196, 2.31429
0.788619, 2.31444
0.787042, 2.31458
0.785465, 2.31473
0.783887, 2.31489
0.78231, 2.31504
0.780732, 2.31519
0.779154, 2.31534
0.777576, 2.31549
0.775998, 2.31565
0.77442, 2.3158
0.772841, 2.31596
0.771262, 2.31611
0.769684, 2.31627
0.768105, 2.31643
0.766526, 2.31658
0.764946, 2.31674
0.763367, 2.3169
0.761787, 2.31706
0.760208, 2.31722
0.758628, 2.31739
0.757048, 2.31755
0.755468, 2.31771
0.753888, 2.31788
0.752307, 2.31804
0.750727, 2.31821
0.749146, 2.31837
0.747565, 2.31854
0.745984, 2.31871
0.744403, 2.31888
0.742822, 2.31905
0.741241, 2.31922
0.739659, 2.31939
0.738077, 2.31956
0.736496, 2.31973
0.734914, 2.31991
0.733332, 2.32008
0.731749, 2.32026
0.730167, 2.32043
0.728585, 2.32061
0.727002, 2.32079
0.725419, 2.32096
0.723837, 2.32114
0.722254, 2.32132
0.720671, 2.32151
0.719087, 2.32169
0.717504, 2.32187
0.71592, 2.32205
0.714337, 2.32224
0.712753, 2.32242
0.711169, 2.32261
0.709585, 2.32279
0.708001, 2.32298
0.706417, 2.32317
0.704833, 2.32336
0.703248, 2.32355
0.701664, 2.32374
0.700079, 2.32393
0.698494, 2.32412
0.696909, 2.32432
0.695324, 2.32451
0.693739, 2.32471
0.692154, 2.32491
0.690569, 2.3251
0.688983, 2.3253
0.687397, 2.3255
0.685812, 2.3257
0.684226, 2.3259
0.68264, 2.3261
0.681054, 2.3263
0.679468, 2.32651
0.677882, 2.32671
0.676295, 2.32692
0.674709, 2.32712
0.673122, 2.32733
0.671536, 2.32753
0.669949, 2.32775
0.668362, 2.32796
0.666775, 2.32817
0.665188, 2.32838
0.663601, 2.32859
0.662013, 2.3288
0.660426, 2.32901
0.658839, 2.32923
0.657251, 2.32945
0.655663, 2.32966
0.654075, 2.32988
0.652488, 2.3301
0.6509, 2.33032
0.649312, 2.33054
0.647723, 2.33076
0.646135, 2.33098
0.644547, 2.33121
0.642958, 2.33143
0.64137, 2.33166
0.639781, 2.33188
0.638193, 2.33211
0.636604, 2.33234
0.635015, 2.33257
0.633426, 2.3328
0.631837, 2.33303
0.630248, 2.33326
0.628659, 2.33349
0.627069, 2.33373
0.62548, 2.33396
0.623891, 2.33419
0.622301, 2.33443
0.620711, 2.33467
0.619122, 2.33491
0.617532, 2.33514
0.615942, 2.33538
0.614352, 2.33562
0.612762, 2.33587
0.611172, 2.33611
0.609582, 2.33635
0.607992, 2.3366
0.606401, 2.33684
0.604811, 2.33709
0.603221, 2.33733
0.60163, 2.33758
0.60004, 2.33783
0.598449, 2.33808
0.596858, 2.33833
0.595267, 2.33858
0.593677, 2.33883
0.592086, 2.33908
0.590495, 2.33933
0.588904, 2.33959
0.587312, 2.33984
0.585721, 2.3401
0.58413, 2.34036
0.582539, 2.34061
0.580947, 2.34087
0.579356, 2.34113
0.577764, 2.34139
0.576173, 2.34165
0.574581, 2.34191
0.57299, 2.34217
0.571398, 2.34243
0.569806, 2.34269
0.568214, 2.34295
0.566622, 2.34322
0.56503, 2.34348
0.563438, 2.34375
0.561846, 2.34401
0.560254, 2.34428
0.558662, 2.34455
0.55707, 2.34481
0.555478, 2.34508
0.553885, 2.34535
0.552293, 2.34561
0.550701, 2.34588
0.549108, 2.34615
0.547516, 2.34642
0.545923, 2.34669
0.544331, 2.34696
0.542738, 2.34723
0.541145, 2.3475
0.539553, 2.34777
0.53796, 2.34804
0.536367, 2.34831
0.534774, 2.34859
0.533181, 2.34886
0.531589, 2.34913
0.529996, 2.3494
0.528403, 2.34967
0.52681, 2.34994
0.525216, 2.35021
0.523623, 2.35048
0.52203, 2.35076
0.520437, 2.35103
0.518844, 2.3513
0.517251, 2.35157
0.515658, 2.35184
0.514064, 2.35211
0.512471, 2.35238
0.510878, 2.35264
0.509284, 2.35291
0.507691, 2.35318
0.506098, 2.35344
0.504504, 2.35371
0.502911, 2.35398
0.501317, 2.35424


