jinyu 20240902

wavelength (microns), Re(eps)
1.03596, 2.29762
1.03456, 2.29768
1.0325, 2.29778
1.03167, 2.29782
1.02904, 2.29795
1.02879, 2.29796
1.02593, 2.2981
1.02557, 2.29812
1.02309, 2.29824
1.02211, 2.29829
1.02026, 2.29838
1.01865, 2.29846
1.01744, 2.29852
1.01519, 2.29864
1.01464, 2.29867
1.01186, 2.29881
1.01172, 2.29881
1.00909, 2.29895
1.00634, 2.29909
1.0036, 2.29923
1.00088, 2.29937
0.999756, 2.29943
0.998208, 2.29952
0.998168, 2.29952
0.996659, 2.2996
0.995474, 2.29966
0.995109, 2.29968
0.99356, 2.29976
0.992795, 2.2998
0.99201, 2.29985
0.99046, 2.29993
0.99013, 2.29995
0.988909, 2.30001
0.987479, 2.30009
0.987359, 2.3001
0.985808, 2.30018
0.984843, 2.30023
0.984257, 2.30027
0.982705, 2.30035
0.98222, 2.30038
0.981154, 2.30044
0.979612, 2.30052
0.979602, 2.30052
0.97805, 2.30061
0.977017, 2.30067
0.976498, 2.30069
0.974945, 2.30078
0.974436, 2.30081
0.973392, 2.30087
0.971869, 2.30096
0.971839, 2.30096
0.970286, 2.30105
0.969315, 2.3011
0.968732, 2.30113
0.967178, 2.30122
0.966774, 2.30125
0.965624, 2.30131
0.964247, 2.30139
0.96407, 2.3014
0.962515, 2.30149
0.961733, 2.30154
0.96096, 2.30158
0.959405, 2.30167
0.959232, 2.30168
0.95785, 2.30176
0.956744, 2.30183
0.956294, 2.30186
0.954738, 2.30195
0.954269, 2.30198
0.953182, 2.30204
0.951806, 2.30212
0.951626, 2.30213
0.95007, 2.30223
0.949357, 2.30227
0.948513, 2.30232
0.946956, 2.30241
0.946919, 2.30242
0.945399, 2.30251
0.944495, 2.30256
0.943841, 2.3026
0.942284, 2.3027
0.942083, 2.30271
0.940726, 2.30279
0.939683, 2.30286
0.939168, 2.30289
0.937609, 2.30299
0.937295, 2.30301
0.936051, 2.30308
0.934919, 2.30315
0.934492, 2.30318
0.932933, 2.30328
0.932555, 2.3033
0.931373, 2.30338
0.930204, 2.30345
0.929814, 2.30347
0.928254, 2.30357
0.927864, 2.3036
0.926694, 2.30367
0.925536, 2.30375
0.925134, 2.30377
0.923573, 2.30387
0.923219, 2.3039
0.922013, 2.30397
0.920914, 2.30405
